Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6ujamBcBsjC0cpyeMr9xja,"7 Seconds","Man","Youssou N'Dour;Neneh Cherry",1996-01-01,299640,41,false,8blrladeh06ispxcd2fkwkdel,2026-04-25T16:51:34Z,"afropop","Circa",0.681,0.672,1,-10.505,0,0.027,0.075,0.00000263,0.147,0.54,154.199,4
spotify:track:6UF8VeDgJ2yfnSP58tWLLc,"Allt är gjort av plåt","Mississippi","Rolf Wikström",1994-01-01,235093,32,false,8blrladeh06ispxcd2fkwkdel,2026-04-25T16:51:34Z,"swedish pop,blues,blues rock,bisrock","MNW Music AB",0.504,0.802,5,-6.423,1,0.0512,0.000309,0.283,0.184,0.6,134.86,4
spotify:track:6SVpzoLdMXIXvFW18gKKRo,"Balladen Om Lilla Elsa","Sell Out","Dia Psalma",1996-01-01,152760,36,false,8blrladeh06ispxcd2fkwkdel,2026-04-25T16:51:34Z,"punk","Birdnest",0.636,0.716,7,-6.237,1,0.0284,0.063,0,0.354,0.787,84.593,4
spotify:track:06hsdMbBxWGqBO0TV0Zrkf,"Cotton Eye Joe","Sex & Violins","Rednex",1994-08-12,194000,75,false,8blrladeh06ispxcd2fkwkdel,2026-04-25T16:51:34Z,"","Muunshine Muusic",0.729,0.936,9,-7.536,1,0.0776,0.0129,0.000892,0.0367,0.598,131.986,4
spotify:track:77SpOg95Gx49w23XyXv9B7,"Det Är Hit Man Kommer När Man Kommer Hem","Sista Färden Hem Till Byn","Euskefeurat",1994-12-01,335866,43,false,8blrladeh06ispxcd2fkwkdel,2026-04-25T16:51:34Z,"dansband,bisrock","Meukskrede Records",0.423,0.265,2,-20.454,1,0.2,0.814,0,0.917,0.655,95.594,4
spotify:track:5FuGUjYn33VpsGu3hVF8Sz,"Elisabeth","Var och varannans värld och planeten Pi","Lars In de Betou;Anders Lundin",1994-01-01,211800,6,false,8blrladeh06ispxcd2fkwkdel,2026-04-25T16:51:34Z,"","Universal Music AB",0.678,0.659,7,-8.482,1,0.406,0.498,0,0.285,0.85,169.515,4
spotify:track:6sDc7xKVYe28DdASxT4FxR,"En jävel på kärlek","Glenmark Eriksson Strömstedt","Glenmark Eriksson Strömstedt",1995,216333,51,false,8blrladeh06ispxcd2fkwkdel,2026-04-25T16:51:34Z,"swedish pop","WM Sweden",0.634,0.912,9,-5.576,1,0.0468,0.0119,0.00000241,0.0652,0.846,155.977,4
spotify:track:16RvJlKIJ8sYMHFZchmwrF,"Everyone Is Jesus","Everyone Is Jesus","Di Leva",1994,215000,2,false,8blrladeh06ispxcd2fkwkdel,2026-04-25T16:51:34Z,"swedish pop","WM Sweden",0.551,0.952,7,-7.794,1,0.0657,0.0263,0.0000145,0.127,0.564,131.95,4
spotify:track:5kwcCGOdGRP6SEp8bsuofk,"Fint väder","Välkommen Till Förorten","The Latin Kings",1994-03-10,203133,30,false,8blrladeh06ispxcd2fkwkdel,2026-04-25T16:51:34Z,"","WM Sweden",0.738,0.743,9,-7.173,1,0.0717,0.00347,0,0.108,0.882,103.021,4
spotify:track:1QJcdzMUidsBaMTHoZZRGn,"Fråga stjärnorna","Cajsa Stina","Cajsa Stina Åkerström",1994-03-07,255280,48,false,8blrladeh06ispxcd2fkwkdel,2026-04-25T16:51:34Z,"swedish pop","WM Sweden",0.653,0.728,7,-8.725,1,0.0378,0.0092,0.0142,0.325,0.59,117.056,4
spotify:track:4gaiKRPIp8wFx0S8ek2tpl,"Förlist","Nordman","Nordman",1994-01-01,233800,38,false,8blrladeh06ispxcd2fkwkdel,2026-04-25T16:51:34Z,"swedish pop,epadunk","Universal Music AB",0.528,0.831,0,-6.496,1,0.0332,0.0755,0.00000641,0.478,0.715,96.798,4
