Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1j5vIFMWjPNhvryBaKZTbI,"(Oh la la) Jag vill ha dej","Ripp rapp","Ulf Lundell",1979,276746,27,false,8blrladeh06ispxcd2fkwkdel,2026-04-17T05:37:30Z,"swedish pop","Parlophone Sweden",0.645,0.635,4,-9,1,0.0531,0.00478,0.00000315,0.391,0.905,137.098,4
spotify:track:7rWgGyRK7RAqAAXy4bLft9,"Angeleyes","Voulez-Vous","ABBA",1979,260893,74,false,8blrladeh06ispxcd2fkwkdel,2026-04-17T05:37:30Z,"","Polar Music International AB",0.719,0.922,11,-6.091,1,0.0338,0.523,0.000163,0.0867,0.964,133.113,4
spotify:track:5MqR7SlGg81zgF9IQWdRfC,"Beväpna er","We´re only in it for the drugs","Ebba Grön",1979-01-01,203373,42,false,8blrladeh06ispxcd2fkwkdel,2026-04-17T05:37:30Z,"punk,swedish pop","MNW Music AB",0.484,0.846,0,-11.051,1,0.0296,0.000424,0.0104,0.342,0.621,95.317,4
spotify:track:5AQ9kG4HIsbFIn9mbElY32,"Boyss","Capitol City","Strix Q",1979-03-16,320826,13,false,8blrladeh06ispxcd2fkwkdel,2026-04-17T05:37:30Z,"swedish pop","Columbia",0.604,0.557,2,-14.794,1,0.0436,0.0126,0.0282,0.636,0.852,114.009,4
spotify:track:762B4bOcXF7I2Y8UlKTyTy,"Chiquitita","Voulez-Vous","ABBA",1979,326320,79,false,8blrladeh06ispxcd2fkwkdel,2026-04-17T05:37:30Z,"","Polar Music International AB",0.5,0.554,9,-8.108,1,0.0354,0.734,0.00000372,0.312,0.372,84.229,4
spotify:track:7bXyv33f65kA869ALm9gRk,"Det ligger i luften","Ut på stan (Bonus Track Version)","Tomas Ledin",1979-01-01,213226,18,false,8blrladeh06ispxcd2fkwkdel,2026-04-17T05:37:30Z,"swedish pop,dansband","Universal Music AB",0.528,0.651,2,-12.047,1,0.129,0.0212,0.00166,0.0774,0.675,122.953,4
spotify:track:2HPB3px8MJZRMfu1L65Z41,"Does Your Mother Know","Voulez-Vous","ABBA",1979,193440,70,false,8blrladeh06ispxcd2fkwkdel,2026-04-17T05:37:30Z,"","Polar Music International AB",0.728,0.865,7,-5.68,1,0.0364,0.151,0.0000243,0.0906,0.975,135.571,4
spotify:track:0ZImQ9rVYDxvUOD7gCIunL,"En kväll i tunnelbanan","Tonårsdrömmar (Remastered)","Noice",1979,233866,47,false,8blrladeh06ispxcd2fkwkdel,2026-04-17T05:37:30Z,"swedish pop","Universal Music AB",0.435,0.723,4,-6.969,1,0.0537,0.0429,0.00121,0.39,0.632,135.809,4
spotify:track:0j9aigyo7QgCMitnZUuMnS,"Flickorna på TV2","Gyllene Tider","Gyllene Tider",1980-02-18,234826,54,false,8blrladeh06ispxcd2fkwkdel,2026-04-17T05:37:30Z,"swedish pop,dansband","Parlophone Sweden",0.573,0.687,0,-4.982,1,0.0473,0.0624,0,0.0728,0.932,86.85,4
spotify:track:2vIrX74eSdkyyizvKKa7eY,"Fruntimmer ska en ha å knulla mä","E. Hitler & Luftwaffe nr. 3, del 1","Eddie Meduza",1979-05-07,256560,26,true,8blrladeh06ispxcd2fkwkdel,2026-04-17T05:37:30Z,"dansband,rockabilly,epadunk,ragga","Columbia",0.503,0.637,11,-12.731,0,0.298,0.41,0,0.134,0.924,127.535,4
