Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2wgRIseU3I1nMgv4Vq8Esq,"Alptoppens ros","Boogieman","Owe Thörnqvist",2009-03-30,191560,4,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"dansband","WM Sweden",0.37,0.702,7,-6.49,1,0.061,0.812,0,0.34,0.962,171.627,3
spotify:track:5JfCAFTn2mQlbtAQY5yRSX,"Amapola","Out-A-Space (The Spotnicks in London)","The Spotnicks",1962,115400,31,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"surf rock,indorock","Grand Avenue",0.476,0.709,3,-9.595,0,0.0428,0.203,0.752,0.351,0.717,176.567,4
spotify:track:0pm8FNx5SJk3Pm2oncUojT,"Augustin","Siws bästa","Siw Malmkvist",2003,129466,24,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"schlager,dansband,schlagerparty","WM Sweden",0.695,0.482,8,-7.401,1,0.0518,0.717,0,0.107,0.9,121.831,4
spotify:track:6lwp0lOawQBgUa9rakKhiW,"Balladen om Fredrik Åkare","Ballader och oförskämdheter","Cornelis Vreeswijk",1964,142666,33,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"swedish pop","WM Sweden",0.522,0.134,11,-17.159,0,0.175,0.952,0,0.107,0.606,88.479,3
spotify:track:5hBI68juwgVWKLrf6xOP8O,"Dagny","14 x Owe Thörnqvist","Owe Thörnqvist",1960-03-30,158066,40,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"dansband","WM Sweden",0.693,0.705,7,-6.283,1,0.0352,0.407,0,0.108,0.904,100.367,4
spotify:track:6q8AvEr7oG3tgmmtI6O2uS,"Den siste mohikanen","16 Svenska originalklassiker","Little Gerhard",2001-01-01,174546,36,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"dansband,rockabilly","Universal Music AB",0.595,0.804,0,-4.511,1,0.0377,0.48,0,0.173,0.924,131.655,4
spotify:track:4LZ6iqSwM5YhJevsKv4wFn,"Det gåtfulla folket","Det gåtfulla folket","Olle Adolphson",1961-01-01,215827,38,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"bisrock,swedish pop","Universal Music AB",0.444,0.132,7,-13.519,1,0.0513,0.808,0,0.123,0.531,174.958,3
spotify:track:2nnfagtzR1bZ3yXVJFETG3,"Droppen Dripp och droppen Drapp","Den olydiga ballongen","Alice Babs;Titti Breitholtz",2011-01-07,120413,16,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"big band","Parlophone Sweden",0.746,0.412,9,-7.515,1,0.0575,0.751,0,0.707,0.566,133.837,4
spotify:track:6JMYPe7gMLB6rdPWf9614s,"En gång i Stockholm","Monicas Bästa -Svenska klassiker","Monica Zetterlund",2004-01-01,182760,23,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"jazz,vocal jazz","Universal Music AB",0.355,0.121,7,-17.396,1,0.0347,0.869,0.00001,0.104,0.24,115.67,3
spotify:track:5gtZZga52R9mL53GZD2Rgr,"En gång jag seglar i hamn","Diamanter - 50-talet","Stig Olin",2007-04-27,163733,35,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"","Parlophone Sweden",0.426,0.267,7,-7.808,1,0.0261,0.807,0,0.313,0.422,78.361,3
spotify:track:2tbXMgAqR5Fyx0qOedur3c,"En tuff brud i lyxförpackning","40-Bästa","Lill-Babs",2019-02-20,148413,33,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"dansband,epadunk,swedish pop","Universal Music AB",0.537,0.649,8,-6.319,1,0.0665,0.679,0,0.145,0.675,119.667,4
spotify:track:4vakDD2sWW2ffIbjstdXOY,"Ett litet rött paket","Guld","Sven-Ingvars",1995-01-01,204186,23,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"dansband,swedish pop","Universal Music AB",0.623,0.618,7,-11.285,1,0.0544,0.651,0.00000187,0.435,0.809,125.545,4
spotify:track:71VVctT9iyF3nOVLocoCeM,"Far jag kan inte få upp min kokosnöt","Svenska Sångfavoriter","Povel Ramel",2005-01-19,166573,36,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"comedy","Parlophone Sweden",0.808,0.509,7,-8.794,1,0.118,0.965,0.0000196,0.155,0.942,130.315,4
spotify:track:1M4cu6mcbevzXhRgaRbTBs,"Fat Mammy Brown","The EP-Collection 1957-1963","Brita Borg",2013-01-01,199173,14,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"","Universal Music AB",0.714,0.493,7,-5.153,1,0.0534,0.424,0,0.406,0.807,111.54,4
spotify:track:1FmhMxnbJ1wGQ2gARKK79C,"Flickor bak i bilen","Originalinspelningar 1955-1980","Siw Malmkvist",2004-12-21,132293,33,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"schlager,dansband,schlagerparty","WM Sweden",0.722,0.481,5,-7.288,1,0.103,0.741,0,0.0738,0.767,126.522,4
spotify:track:1ox1GfZqd4IYjHkbpIAPwF,"Flottarkärlek","Det bästa med Snoddas","Gösta ""Snoddas"" Nordgren",2007-05-30,143506,37,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"dansband","Cupol",0.728,0.339,5,-5.696,1,0.0457,0.689,0,0.431,0.971,110.191,4
spotify:track:3aKByS8JWHvKkZmPlbj0kl,"Fröken Fräken","Guld","Sven-Ingvars",1995-01-01,173200,31,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"dansband,swedish pop","Universal Music AB",0.459,0.399,9,-12.203,1,0.045,0.813,0,0.196,0.81,122.004,4
spotify:track:4NIIAg25UsaQyqrJDywuSy,"Gamle Svarten","Gamle Svarten","Cacka Israelsson",1998,164133,32,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"dansband","Parlophone Sweden",0.497,0.269,9,-11.982,1,0.0322,0.976,0.0265,0.12,0.606,123.999,4
spotify:track:1r1TMGdbUEXyJ0Wz8Wwdzp,"Gräsänkling blues","Svenska Sångfavoriter","Povel Ramel",2005-01-19,264160,36,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"comedy","Parlophone Sweden",0.579,0.261,0,-11.32,1,0.126,0.839,0,0.135,0.562,89.044,4
spotify:track:6NpvXAQRQEovxG0cnOyzBO,"Gröna granna sköna sanna sommar","40-Bästa","Lill-Babs",2019-02-20,145066,32,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"dansband,epadunk,swedish pop","Universal Music AB",0.645,0.482,3,-6.783,1,0.0305,0.684,0,0.138,0.887,92.455,4
spotify:track:3fYRlDXBZGkHFOTrElWbg4,"Gulli Gullan","Gamla fina låtar 2","Jokkmokks Jokke",1991-01-01,196693,31,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"dansband,norsk rock","Universal Music AB",0.402,0.344,8,-12.865,1,0.0321,0.776,0,0.164,0.888,183.551,3
spotify:track:2VUzwiw7n3gzMMbrcy5gUl,"Gun från Dragarbrunn","14 x Owe Thörnqvist","Owe Thörnqvist",1960-03-30,127933,26,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"dansband","WM Sweden",0.453,0.761,4,-5.632,1,0.0591,0.62,0,0.194,0.922,74.139,4
spotify:track:26UF4n2RLiTGvP0Sg8hfWQ,"Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini","40-Bästa","Lill-Babs",2019-02-20,147826,27,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"dansband,epadunk,swedish pop","Universal Music AB",0.662,0.665,9,-8.185,1,0.129,0.678,0,0.0415,0.964,127.129,4
spotify:track:6rNJUC3lFB1T6iqHAIxsbn,"Jazzbacillen","Siws bästa","Siw Malmkvist",2003,179333,24,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"schlager,dansband,schlagerparty","WM Sweden",0.565,0.696,8,-7.112,1,0.156,0.235,0,0.0637,0.899,206.119,4
spotify:track:1I6kK9TDfI9BWqE5CiAXZQ,"Johnny Guitar","Spotnick's Best","The Spotnicks",1989-05-02,172466,28,false,8blrladeh06ispxcd2fkwkdel,2026-06-08T18:56:00Z,"surf rock,indorock","Mill Records",0.524,0.375,9,-15.664,0,0.0403,0.0994,0.851,0.158,0.607,126.647,4
