Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3Cx3e9FdZXDe0pNLPixrK3,"Bedårande barn av sin tid","Bedårande barn av sin tid","Noice",1980-01-01,177066,31,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"swedish pop","Universal Music AB",0.261,0.733,5,-10.104,1,0.0454,0.213,0,0.105,0.676,194.377,4
spotify:track:5ExtrubqKISZvDfXwtRtwk,"Brusa högre lilla å","Våta vingar (2007 mastering)","Björn J:son Lindh",1980-01-01,307560,35,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"jazz fusion","Universal Music AB",0.218,0.554,4,-6.624,1,0.0328,0.0448,0.794,0.368,0.11,148.4,3
spotify:track:0Fw2HklGylQaB6hArkrcGc,"Centrumhets","Den ljusnande framtid är vår","Magnus Uggla",1980-05-02,242666,32,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"swedish pop","Uggly Music",0.856,0.572,4,-5.588,1,0.0558,0.0566,0.000347,0.107,0.965,113.226,4
spotify:track:70UtmL5IXnYYXLYwp2dFfw,"Det Spelades Bättre Boll","ELMIA - jordbruksutställning","Torsson",1989-01-01,228080,28,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"swedish pop,bisrock,dansband","Rim & reson",0.768,0.642,6,-11.591,1,0.0299,0.0898,0.000127,0.354,0.96,127.406,4
spotify:track:1NqQViZVSVX9fibBPJishq,"Du lever bara en gång","Bedårande barn av sin tid","Noice",1980-01-01,205906,45,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"swedish pop","Universal Music AB",0.534,0.827,11,-8.815,0,0.123,0.154,0,0.292,0.695,155.604,4
spotify:track:0lHqNKA2IX8MzQwLNPbbY8,"En slemmig torsk","Aktion","KSMB",1980-01-01,109800,30,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"punk,swedish pop","MNW Music AB",0.325,0.722,10,-13.386,1,0.0985,0.000339,0.0000359,0.116,0.644,95.521,4
spotify:track:63qgtXhMFK4pu67Zy4leGl,"Folkmelodi","Swenglish Vol.5","Rukorna",2019-01-11,122049,12,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"","Rolfstorp Records",0.396,0.709,0,-7.312,1,0.0311,0.039,0,0.186,0.597,99.12,4
spotify:track:0WUq2p5wx7Iq2fQ1vADvkp,"Fri?","Extra","Extra",1980,285320,8,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"swedish pop","Parlophone Sweden",0.689,0.836,6,-6.754,0,0.0353,0.00589,0.000429,0.135,0.887,130.643,4
spotify:track:4skgBvlyghf94hncshhdMx,"Godis är gott","Mästerverk 1979 - 1981","Aston Reymers Rivaler",1981-01-01,201800,16,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"swedish pop","Universal Music AB",0.538,0.695,7,-9.32,1,0.154,0.59,0.00000132,0.271,0.968,121.237,4
spotify:track:4AsvGVDWs16fqIiIdDzyvX,"Happy New Year","Super Trouper","ABBA",1980,263693,58,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"","Polar Music International AB",0.51,0.375,9,-9.185,1,0.0288,0.813,0,0.145,0.25,132.552,4
spotify:track:2QcV5eCEqq72XTX4W2MTco,"Hög hatt","Hög hatt och låga skor","Magnum Bonum",1980-11-01,162653,20,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"swedish pop","Universal Music AB",0.833,0.649,2,-6.973,0,0.0508,0.137,0,0.28,0.884,128.716,4
spotify:track:40acONTdwTS1yVgF67Sk2d,"Jag ger mig inte - 2011 Remaster","Eva Dahlgren","Eva Dahlgren",1980,179773,28,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"swedish pop","Parlophone Sweden",0.43,0.544,9,-8.007,1,0.0276,0.367,0.0000362,0.117,0.369,143.155,4
spotify:track:3E2oJa3BwUuDUYDB2ilAr7,"Jag kysste henne våldsamt","Det är inte snön som faller","Anders F. Rönnblom",1984-01-01,211480,32,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"bisrock,swedish pop,christmas","Universal Music AB",0.555,0.597,0,-10.861,1,0.226,0.0374,0.0000011,0.0552,0.699,74.879,4
spotify:track:2Hx61KuedgBKOaJ1GfflJe,"Just Nu - Bonus Track","Lookin' For A Good Time (Bonus Track Version)","Tomas Ledin",1980-01-01,223200,16,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"swedish pop,dansband","Universal Music AB",0.755,0.479,9,-14.279,0,0.0439,0.0115,0.227,0.0644,0.861,140.279,4
spotify:track:1mg5nLZ5RmHYgCHpt3kThv,"Kom och värm dej","Tärningen är kastad","Lasse Lindbom Band",1982,198973,23,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"swedish pop","Parlophone Sweden",0.685,0.568,5,-7.225,1,0.0499,0.0898,0,0.224,0.795,89.928,4
spotify:track:2PJ3eX6QmpaWsMokNnacXb,"Köppäbävisan","Köppäbävisan","Bengt Pegefelt",1980,151626,33,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"dansband,epadunk","WM Sweden",0.809,0.58,9,-5.227,1,0.0765,0.307,0,0.0973,0.89,134.652,4
spotify:track:4euAGZTszWPrriggYK0HG9,"Lay All Your Love On Me","Super Trouper","ABBA",1980,274466,83,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"","Polar Music International AB",0.678,0.727,2,-7.844,0,0.0258,0.117,0.00396,0.354,0.71,133.481,4
spotify:track:5lUV1cuY6xQKvEWLtTv3CH,"Musik","Palsternacka +","Dag Vag",1980-01-01,226293,25,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"swedish pop","Silence Records",0.742,0.895,9,-5.196,1,0.0426,0.115,0.00158,0.0316,0.973,79.95,4
spotify:track:47x88ndVvBkykc2Y5NCKF3,"No Particular Place to Go","Åsa Bodén","Björn Skifs;Byfånarna",1980,164920,45,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"dansband,rockabilly,epadunk","WM Sweden",0.633,0.559,9,-8.277,1,0.101,0.353,0.0000242,0.093,0.925,134.688,4
spotify:track:2EKzS2s2VKnbQ7jxyk2WHi,"När vi två blir en","Moderna Tider","Gyllene Tider",1981-03-10,188466,62,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"swedish pop,dansband","Parlophone Sweden",0.626,0.667,9,-6.484,1,0.0739,0.17,0,0.112,0.855,89.233,4
spotify:track:6hHXft1nFyvfVv6UoRToPZ,"Our Last Summer","Super Trouper","ABBA",1980,259733,65,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"","Polar Music International AB",0.504,0.528,2,-7.889,1,0.0244,0.72,0.0000628,0.432,0.414,98.341,4
spotify:track:03GGM8ZKH4YBFDGpawNC6z,"På väg","Tistlar från tundran","Turid",1980,128263,25,false,8blrladeh06ispxcd2fkwkdel,2026-04-10T21:41:42Z,"bisrock","WM Sweden",0.664,0.347,2,-13.943,1,0.209,0.772,0.0000154,0.101,0.519,161.811,4
