Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2m08Dve6HltoahSSYCqD6N,"747","747","kent",1998-07-13,467520,19,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","RCA Records Label",0.527,0.685,1,-9.091,1,0.0275,0.0000455,0.431,0.336,0.191,102.595,4
spotify:track:157QpHilNiGgvaS2WYLK8s,"Alla talar med varandra","Original","The Real Group",1996-01-01,218666,16,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"vocal jazz,jul","The Real Group Records",0.797,0.342,8,-10.854,1,0.0476,0.786,0,0.249,0.78,93.995,4
spotify:track:5Sl4ayNzYNxDnHKCsebe5g,"Broken Promise Land","Broken Promise Land","Weeping Willows",1997-06-15,278973,42,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop,jul","Weeping Willows HB",0.255,0.479,7,-9.096,1,0.0308,0.618,0.0000253,0.182,0.365,79.563,3
spotify:track:26UEmFAUOLUsjHEFa6vg72,"Calling Your Name - Radio Version","The Explorer","E-Type",1996-01-01,217533,43,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"eurodance,europop","Universal Music AB",0.775,0.911,11,-8.118,0,0.0417,0.0183,0.0216,0.0683,0.603,119.971,4
spotify:track:0TYwFP4MxszHAXAJMYhi3E,"Den vilda","Den vilda","One More Time",1996-06-20,189800,51,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","Columbia",0.377,0.438,0,-9.703,1,0.0283,0.785,0,0.111,0.14,80.686,3
spotify:track:168yWTm0x73EpaBMbSJvuD,"Du måste finnas","Kristina från Duvemåla","Benny Andersson;Helen Sjöholm;Malmö Musikteaters kör & ork",1996-01-01,342440,44,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"dansband,svensk pop","Mono Music AB",0.339,0.176,9,-13.767,1,0.0378,0.863,0,0.114,0.17,131.414,4
spotify:track:7llOV1T4qU51DM2IMnQ7iQ,"Fishtank","C-60","This Perfect Day",1997-01-01,184733,26,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop,powerpop","MNW Music AB",0.556,0.764,11,-5.565,1,0.0391,0.000199,0.0000641,0.0886,0.845,113.567,4
spotify:track:5FaT5fKzsAddkLzdy8pj2k,"Free Like A Flying Demon - 7"" Version","The Explorer","E-Type",1996-01-01,215533,39,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"eurodance,europop","Universal Music AB",0.557,0.946,6,-8.347,1,0.0469,0.0565,0.0000415,0.275,0.109,88.002,4
spotify:track:7MYC1Le5vcjyw0yBAQGVyB,"Gravitation","Verkligen","kent",1996-03-15,222533,44,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","RCA Records Label",0.348,0.47,4,-8.952,1,0.0291,0.0987,0.00000461,0.486,0.0842,131.21,3
spotify:track:3RAEe0NUK1XsVJt8bhqk2l,"Guldet blev till sand","Kristina från Duvemåla","Peter Jöback;Malmö Musikteaters kör & ork;Benny Andersson",1996-01-01,253760,31,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"jul","Mono Music AB",0.296,0.117,4,-16.206,1,0.0375,0.777,0,0.0885,0.155,113.685,4
spotify:track:0qOaBijMN2tDbSDogOmhYC,"Gå & fiska!","Konstpaus","Gyllene Tider",2000-01-01,237533,62,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop,dansband","WM Sweden",0.591,0.725,7,-8.343,0,0.0295,0.00256,0.000209,0.0705,0.74,119.788,4
spotify:track:2Vn64pgbiFjMdqkCf2dvLK,"Herr Mannelig - 2023 Remastered","Guds spelemän (2023 Remastered)","Garmarna",1996-02-14,385880,51,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"neofolk,medeltidsmusik,keltisk,folk metal,traditionell folk,medeltida metal","Massproduktion",0.19,0.356,7,-11.505,0,0.0289,0.306,0.00252,0.116,0.0547,72.105,4
spotify:track:7rXw8x50tafITRh1IM1GXY,"Här kommer Pippi Långstrump","Sjung och var glad","Black-Ingvars",2006-10-11,175066,37,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"dansband,norsk rock","WM Sweden",0.542,0.841,8,-7.427,1,0.0396,0.00157,0.00000162,0.0872,0.542,123.031,4
spotify:track:3i1UaYknJfgb6XEEFOKZf3,"I Breathe","The Plutonium Cathedral","Vacuum",1997-01-01,277066,40,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"","Universal Music AB",0.525,0.678,3,-7.195,0,0.0329,0.0413,0,0.179,0.491,169.891,4
spotify:track:7gfk5wYaBIgdy8BkII7KZy,"I'm Sorry","Dilba","Dilba",1997-03-05,180573,30,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","WM Sweden",0.626,0.372,4,-11.363,0,0.0305,0.532,0,0.0993,0.393,114.926,4
spotify:track:7FhMo3HBdR6CC5PMBVQoN3,"In My Mind","LP","Antiloop",1997-01-01,208040,46,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"eurodance,trance","Universal Music AB",0.573,0.981,11,-7.634,1,0.0674,0.0034,0.755,0.34,0.0642,141.168,4
spotify:track:3siMxQL1FUH2viB14AaGqU,"Instant Repeater '99","Welcome To The Infant Freebase","The Soundtrack Of Our Lives",1996-03-09,281573,45,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"neo-psykedelisk,svensk pop","WM Sweden",0.172,0.814,4,-6.076,1,0.0358,0.00411,0.00483,0.248,0.722,159.475,4
spotify:track:4iGTmZtKqMsH3AzCeSSD2T,"Istället för musik: Förvirring","Istället för musik: Förvirring","bob hund",1996-04-15,191466,26,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","Silence Records",0.426,0.921,6,-4.357,1,0.0677,0.00751,0.000239,0.184,0.636,100.403,1
spotify:track:4y8mZRVyXjrRpsADd1r9pD,"Jag och min far","Det stora kalaset","Olle Ljungström",1997,182253,42,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","WM Sweden",0.383,0.244,4,-12.534,1,0.0313,0.437,0.00001,0.0928,0.269,162.637,3
spotify:track:2AXTRWWGTwgp0Ud8cPzT5S,"Juni, Juli, Augusti","Konstpaus","Gyllene Tider",2000-01-01,232426,58,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop,dansband","WM Sweden",0.288,0.898,2,-5.204,1,0.0663,0.00176,0.000117,0.313,0.53,124.698,4
spotify:track:7BkVz4Nr9ybIGrhjPUdjKg,"Kalles klätterträd","Goda' goda'","Jojje Wadenius",2001-02-23,85066,31,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","WM Sweden",0.637,0.751,11,-11.639,0,0.162,0.278,0,0.0542,0.743,171.03,4
spotify:track:6mwzXxkU8SLbIcOCqCVuOg,"Kräm (så nära får ingen gå)","Verkligen","kent",1996-03-15,161666,51,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","RCA Records Label",0.334,0.716,5,-8.792,1,0.0416,0.0000374,0.0129,0.347,0.42,124.675,4
spotify:track:5067DKpOhNsqobBBJLZCCl,"Last Night a DJ Saved My Life - C&J Mix","Allstars","Blacknuss;Cutfather & Joe",1996-01-01,274880,39,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"acid jazz","Diesel",0.863,0.654,4,-7.269,1,0.0693,0.139,0,0.0552,0.886,110.024,4
spotify:track:5yfJB73d9XEJ0qXKSf6VQ1,"Lika hopplöst förälskad","T","Tomas Ledin",1996-01-01,239013,43,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop,dansband","Playground Music",0.639,0.833,2,-6.891,1,0.0479,0.036,0,0.352,0.612,126.865,4
spotify:track:7aQjPecQdIuNd1sz3KCDhD,"Lovefool","First Band On The Moon (Remastered)","The Cardigans",1996-01-01,193953,87,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","Universal Music AB",0.704,0.636,9,-6.029,1,0.0252,0.0344,0,0.35,0.89,111.845,4
spotify:track:0ANu1HccpjS3DOZEGXBBT7,"Om det är OK","Godmorgon Sverige","Mauro Scocco",1996-10-16,238000,17,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","Diesel",0.697,0.475,5,-8.856,0,0.0349,0.155,0,0.072,0.537,140.31,4
spotify:track:3rwd5wW9Ew5H6YlyZk9wtH,"Om du var här","Om Du Var Här","kent",1997-10-06,241666,42,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","RCA Records Label",0.412,0.645,6,-6.428,0,0.0355,0.0000222,0.00000439,0.121,0.213,125.725,4
spotify:track:1jgc7kYSR9aJp17U4gI2ls,"The Right Way","The Right Way","Eric Gadd",1997-01-01,230893,33,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","Roxy Recordings",0.744,0.666,8,-6.683,1,0.0453,0.0933,0.0000158,0.193,0.682,142.002,4
spotify:track:7lereyPKX2y0uAe4CYdjHx,"Saker man ser","Saker Man Ser","kent",1998-01-26,235960,19,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","RCA Records Label",0.383,0.609,0,-8.368,1,0.0287,0.0000474,0.00344,0.174,0.319,161.126,4
spotify:track:7v02Sn9vYRQ6pc1lqhnkWY,"Save Tonight","Desireless","Eagle-Eye Cherry",1997-07-21,236040,57,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"","Diesel",0.548,0.742,0,-6.536,1,0.0337,0.000154,0.0000397,0.109,0.583,119.496,4
spotify:track:3gKL2RRGnquktudCkkBC0X,"Show Me Love - Radio Version","Robyn Is Here","Robyn",1995-10-13,231666,54,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","Ariola/Ricochet",0.545,0.638,6,-3.96,0,0.0409,0.0746,0,0.133,0.725,181.839,4
spotify:track:1kTuAuDVotqoGiUEKpbxHH,"Tears Never Dry","Alone","Stephen Simmonds;Lisa Nilsson",1997-01-01,311066,32,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","Diesel",0.586,0.41,1,-10.138,1,0.0309,0.0969,0.000239,0.107,0.24,76.097,4
spotify:track:4snbuGaQ8ShWBcJ5OMPGQ0,"Terese","Due","Uno Svenningsson",1996,229933,35,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","Record Station",0.469,0.697,2,-7.719,1,0.0534,0.207,0,0.553,0.519,79.782,4
spotify:track:2LaSa6GFQ3bwNzKHVRC83B,"Tre gringos","Plast","Just D;Thorleifs",1995-03-04,160159,41,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"dansband,jul,dansktop,svensk pop","WM Sweden",0.671,0.826,0,-5.573,1,0.0294,0.667,0,0.244,0.867,115.469,3
spotify:track:5pkO17U6riaIaaTvT7GwCn,"Tro","Tro","Marie Fredriksson",1996,298973,50,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","WM Sweden",0.535,0.37,2,-9.47,1,0.0282,0.227,0.0000301,0.149,0.136,119.919,4
spotify:track:5eJ314ozT4CTPlyjdsGq78,"Utan dina andetag","Om Du Var Här","kent",1997-10-06,264066,59,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","RCA Records Label",0.272,0.657,7,-7.458,1,0.0293,0.000905,0.000345,0.123,0.4,174.637,4
spotify:track:3HSt1ZgyKd8MONJ722o8PT,"Vi kommer aldrig att dö","Amerika","Bo Kaspers Orkester",1996-09-26,264226,31,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","Columbia",0.664,0.499,5,-12.929,0,0.0298,0.0589,0.000826,0.103,0.194,110.153,4
spotify:track:7usbYFpqbTjsKIyhSiLpp6,"We Vie - Original Version","Jr","Stakka Bo;Nåid;Titiyo;Fleshquartet",2001-01-01,234840,32,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"acid jazz,svensk pop","Universal Music AB",0.586,0.68,11,-6.327,0,0.134,0.0277,0.26,0.161,0.41,190.238,4
spotify:track:1eOCyaSRBdFGofbLYjgGM2,"Woman","Man","Neneh Cherry",1996-01-01,270400,54,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"","Circa",0.542,0.54,3,-8.888,0,0.0261,0.0901,0.0346,0.198,0.33,136.022,4
spotify:track:7H70qwpgsgA3QKJg7D8HIp,"Work","Broder Daniel","Broder Daniel",1996-04-22,211026,30,false,8blrladeh06ispxcd2fkwkdel,2026-05-08T12:29:53Z,"svensk pop","Parlophone Sweden",0.344,0.93,0,-4.863,1,0.0713,0.000496,0.104,0.0975,0.379,151.973,4
