Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6wE52W9LTluj9G8Bzmdzx1,"All Lips 'n Hips","Funk-O-Metal Carpet Ride","Electric Boys",1990,262800,24,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"glam metal,funk rock,glam rock,aor","Universal Music AB",0.568,0.97,7,-5.242,1,0.0643,0.0474,0.0103,0.339,0.116,93.284,4
spotify:track:6pTcrNhOVWXdrKUh5ul2e4,"Alla vill till himlen","Thåström","Thåström",1989-09,264666,39,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","MNW Music AB",0.544,0.614,2,-10.744,0,0.0317,0.158,0.000558,0.555,0.64,83.745,4
spotify:track:0GiN5bEBn1jZH5npIzrKYh,"Baby Boom","Uggla Box","Magnus Uggla",2008-01-01,329333,32,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","Uggly Music",0.697,0.911,11,-4.078,0,0.0798,0.0485,0,0.268,0.55,134.062,4
spotify:track:0tsP3vYQmr0kruhBwaO2fc,"Bara himlen ser på","Hurra du lever, pang du är död!","Eric Gadd",1989-01-01,303826,31,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","Universal Music AB",0.565,0.573,2,-11.44,1,0.0323,0.215,0.00000209,0.336,0.725,170.038,4
spotify:track:0mxxZVN7OEk3hWLuBCpNbP,"Deidres samba","Det Bästa 1983 - 2002","Anne-Lie Rydé",2002-03-15,330057,15,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop,dansband","Parlophone Sweden",0.644,0.911,11,-7.96,1,0.0945,0.39,0.0000237,0.0874,0.258,124.741,4
spotify:track:5gyPbAixchH4iPhqKWthfB,"Det hon vill ha","Luften darrar","Christer Sandelin",1989-01-01,287040,44,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","Universal Music AB",0.691,0.795,10,-9.803,0,0.0263,0.216,0.00477,0.0355,0.905,109.755,4
spotify:track:52RwZpnpEaHz6KzU3n9sVQ,"Du får aldrig nog","Helq","Dag Vag",1989-01-01,404440,13,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","MNW Music AB",0.722,0.749,1,-11.982,0,0.0435,0.0145,0.656,0.173,0.397,119.75,4
spotify:track:3zjtUYiQr0XkFuOd4AjLCq,"Då står pojkarna på rad","Orup 2","Orup",1989-03-03,262466,47,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","WM Sweden",0.672,0.932,0,-4.401,0,0.0291,0.0467,0.0000115,0.0779,0.911,138.918,4
spotify:track:4y81ov9ojdBPu5eLhDKxS9,"En dag","En Samling 1981 - 2001","Tommy Nilsson",2001-08-13,198706,44,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","RCA Records Label",0.593,0.833,1,-5.826,1,0.0392,0.117,0.00000379,0.123,0.622,94.922,4
spotify:track:4qTL3QblUQqYq7NBNeOplo,"En Stor Stark","Ormens År","Kjell Höglund",1989-01-01,235933,24,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop,bisrock,dansband","Atlantis Grammofon",0.759,0.917,0,-6.421,1,0.0366,0.135,0.00413,0.039,0.903,115.031,4
spotify:track:3oqA2owUn4dKdnpgStXSsB,"En kvinna och en man","En gång i livet","Niklas Strömstedt;Anne-Lie Rydé",1989-05-29,276746,35,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop,dansband","Parlophone Sweden",0.431,0.679,5,-5.82,1,0.0268,0.248,0,0.0935,0.39,168.601,4
spotify:track:7rGHduaVJE02bdnbsjrfDF,"Flicka med guld","Thåström","Thåström",1989-09,225173,41,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","MNW Music AB",0.516,0.17,2,-15.216,0,0.0285,0.834,0,0.09,0.37,81.203,4
spotify:track:1ZXt2h9IrfcFUgCuHNxjen,"För fet...","Ride On...","Svullo;Electric Boys",1990-01-01,276466,31,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"glam metal,funk rock,glam rock,aor","Universal Music AB",0.73,0.852,9,-10.849,1,0.0784,0.0126,0.000022,0.451,0.55,103.081,4
spotify:track:3usteEaIdwAaKKl7wlMGMi,"Förlorad igen","En gång i livet","Niklas Strömstedt",1989-05-29,231266,41,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","Parlophone Sweden",0.465,0.45,4,-7.888,0,0.0272,0.437,0,0.136,0.243,142.583,3
spotify:track:2RKgpKkQJ6Qmz9kXMsbHNg,"Glad att det är över","Människor under molnen","Ratata",1989-01-01,212946,29,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","Universal Music AB",0.635,0.945,9,-5.467,1,0.0626,0.0501,0,0.0526,0.691,103.979,4
spotify:track:3Atr2OBXJVIpQ96zxuActC,"Got to Get (feat. Leila K)","Rob n Raz (feat. Leila K)","Rob n Raz;Leila K",1990,201466,47,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"eurodance","WM Sweden",0.805,0.611,1,-15.11,1,0.0471,0.00132,0.00000473,0.084,0.832,116.294,4
spotify:track:2NeodZQ15mlBkOUi3SspQ6,"Hey Winner","Love Poison","Lolita Pop",1989-01-01,201773,32,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","MNW Music AB",0.525,0.69,11,-11.571,1,0.0283,0.00114,0.0000159,0.333,0.345,122.894,4
spotify:track:1nrvksAMsxoiEbUkQyxOXo,"Hon har ett sätt","...och stora havet","Jakob Hellman",1989-02-13,201066,48,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","WM Sweden",0.684,0.718,7,-8.732,1,0.0264,0.0745,0,0.0827,0.863,118.794,4
spotify:track:3vFyLEl6AyGKrm2Bi59U1I,"Hurra du lever, pang du är död!","Hurra du lever, pang du är död!","Eric Gadd",1989-01-01,260000,6,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","Universal Music AB",0.573,0.729,9,-10.327,1,0.0393,0.135,0.00171,0.0579,0.894,99.995,4
spotify:track:5l6R1oYyUJPv30dNnUo1yP,"Hänger utanför din dörr","Tommy Ekman","Tommy Ekman",1990-01-01,241626,27,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","Universal Music AB",0.607,0.766,9,-10.016,1,0.043,0.0579,0.00000442,0.212,0.901,105.012,4
spotify:track:7AdMzesYknao6loNAJAq9f,"I'll Be Waiting","Talisman","Talisman",1990-02-22,177426,44,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"aor,arena rock,hard rock,glam metal","A Sun Hill Production AB",0.495,0.853,6,-2.394,0,0.0442,0.00361,0,0.101,0.703,129.794,4
spotify:track:7fGgwghPEYYSVnq58pxkay,"It Started With A Love Affair","Jerry Williams / JW","Jerry Williams",1989-01-01,207760,47,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"rockabilly,dansband,swedish pop","Universal Music AB",0.665,0.564,6,-10.444,0,0.023,0.48,0,0.0846,0.793,103.084,4
spotify:track:1wdRo9hSIYSsQDwLd40a1W,"Jag mår illa","Uggla Box","Magnus Uggla",2008-01-01,248720,41,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","Uggly Music",0.688,0.909,3,-5.018,1,0.0545,0.223,0,0.133,0.64,128.118,4
spotify:track:0nPNQ84kh7WJtoyW1PyHPN,"Jimmy Dean","Troll","Troll",1989-01-01,241560,41,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"christmas","Universal Music AB",0.612,0.884,5,-10.377,0,0.0341,0.0145,0.00000167,0.262,0.697,120.163,4
spotify:track:1CBkviUsIr21FQHP2cH4Sd,"Karenina","Thåström","Thåström",1989-09,259933,38,false,8blrladeh06ispxcd2fkwkdel,2026-04-06T13:09:12Z,"swedish pop","MNW Music AB",0.596,0.478,2,-16.066,1,0.0375,0.182,0.0003,0.0772,0.78,151.864,4
