Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7G3bk9CP8rR6C5YhPdPi3y,"Anita","Sven Ingvars i Frödingland","Sven-Ingvars",1971-01-01,235293,41,false,8blrladeh06ispxcd2fkwkdel,2026-05-09T13:49:59Z,"dansband,svensk pop","Universal Music AB",0.541,0.337,6,-13.812,1,0.0357,0.839,0,0.0881,0.831,155.444,4
spotify:track:54OZRdQOvXxgQxA2rnmbpP,"Anna & mej","Upp till Ragvaldsträsk","Lalla Hansson",1971-05-21,284480,45,false,8blrladeh06ispxcd2fkwkdel,2026-05-09T13:49:59Z,"dansband,svensk pop","Parlophone Sweden",0.617,0.734,0,-6.724,1,0.0272,0.112,0,0.0992,0.964,144.795,4
spotify:track:1CgZOvsW74ugXZMZLQcIK8,"Balladen om den kaxiga myran","Visor för smutsiga öron","Stefan Demert",1970-01-01,148720,38,false,8blrladeh06ispxcd2fkwkdel,2026-05-09T13:49:59Z,"dansband","Universal Music AB",0.828,0.481,0,-7.272,1,0.116,0.828,0,0.179,0.926,118.958,4
spotify:track:0U1Wnt8psBMe0ml3pKGYqh,"Balladen om Olsson","Hör upp allt folk","NJA-gruppen",1970-01-01,147053,20,false,8blrladeh06ispxcd2fkwkdel,2026-05-09T13:49:59Z,"","MNW Music AB",0.402,0.535,2,-7.017,1,0.0366,0.0759,0,0.219,0.654,84.666,4
spotify:track:68et57jsDH0N2LUQHX6ykf,"The Black Riders & Flight to the Ford","Lord of the Rings","Bo Hansson",1970-11-02,247986,32,false,8blrladeh06ispxcd2fkwkdel,2026-05-09T13:49:59Z,"progressiv rock,krautrock,space rock,konstrock","Silence Records",0.411,0.911,2,-7.264,1,0.0435,0.0101,0.00185,0.133,0.375,125.701,4
spotify:track:4uN0EAbOmmWiPBQ6qyHzeH,"Brittas restaurang","Brittas Restaurang","Sveriges Jazzband",1996,228226,29,false,8blrladeh06ispxcd2fkwkdel,2026-05-09T13:49:59Z,"dansband","Parlophone Sweden",0.612,0.599,8,-7.929,1,0.0362,0.534,0,0.627,0.845,104.577,4
spotify:track:5sKHDkGXWJk86dfkPUO5E8,"California Sun","Happily Together After...","Ola & The Janglers",1969-01-01,152783,23,false,8blrladeh06ispxcd2fkwkdel,2026-05-09T14:00:22Z,"svensk pop,dansband,rockabilly","Universal Music AB",0.381,0.912,4,-6.142,1,0.0437,0.203,0.000538,0.342,0.924,176.875,4
spotify:track:6H7I7KeoWApFvXV79oWMJu,"Den ena handen vet vad den andra gör","Brustna hjärtans hotell","Blå Tåget",1972-01-01,266920,35,false,8blrladeh06ispxcd2fkwkdel,2026-05-09T14:06:13Z,"bisrock,svensk pop","MNW Music AB",0.479,0.468,10,-10.303,1,0.0406,0.593,0.00371,0.121,0.571,98.729,4
spotify:track:0QFZuRzpWKodJJmGIeHDQj,"Det var dans bort i vägen","Sven Ingvars i Frödingland","Sven-Ingvars",1971-01-01,207693,38,false,8blrladeh06ispxcd2fkwkdel,2026-05-09T13:49:59Z,"dansband,svensk pop","Universal Music AB",0.621,0.643,2,-11.94,1,0.0789,0.446,0,0.0817,0.962,157.416,4
spotify:track:3X4JH0aBqKKAamYkpj5xer,"Did You Give the World Some Love Today, Baby","Did You Give The World Some Love Today Baby","Doris",1970,199049,41,false,8blrladeh06ispxcd2fkwkdel,2026-05-09T13:49:59Z,"","Parlophone Sweden",0.295,0.781,0,-6.672,1,0.0991,0.172,0.0001,0.0976,0.42,191.315,4
